image_path,line,object,date,lot_id,equipment_id,split,label,mask_path,visa_source
line_01/2026-08-01/L01AAA100001.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0654.JPG
line_01/2026-08-01/L01AAA100002.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,defect,/Users/eundong/Library/CloudStorage/GoogleDrive-yidheld@gmail.com/내 드라이브/[Shared]SK_AI_Hackathon/archive/pcb1/Data/Masks/Anomaly/089.png,pcb1/Data/Images/Anomaly/089.JPG
line_01/2026-08-01/L01AAA100003.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0114.JPG
line_01/2026-08-01/L01AAA100004.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0025.JPG
line_01/2026-08-01/L01AAA100005.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0759.JPG
line_01/2026-08-01/L01AAA100006.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0281.JPG
line_01/2026-08-01/L01AAA100007.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0250.JPG
line_01/2026-08-01/L01AAA100008.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0228.JPG
line_01/2026-08-01/L01AAA100009.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0142.JPG
line_01/2026-08-01/L01AAA100010.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0754.JPG
line_01/2026-08-01/L01AAA100011.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0104.JPG
line_01/2026-08-01/L01AAA100012.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0692.JPG
line_01/2026-08-01/L01AAA100013.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0758.JPG
line_01/2026-08-01/L01AAA100014.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0913.JPG
line_01/2026-08-01/L01AAA100015.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0558.JPG
line_01/2026-08-01/L01AAA100016.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0089.JPG
line_01/2026-08-01/L01AAA100017.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0604.JPG
line_01/2026-08-01/L01AAA100018.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0432.JPG
line_01/2026-08-01/L01AAA100019.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0032.JPG
line_01/2026-08-01/L01AAA100020.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,defect,/Users/eundong/Library/CloudStorage/GoogleDrive-yidheld@gmail.com/내 드라이브/[Shared]SK_AI_Hackathon/archive/pcb1/Data/Masks/Anomaly/058.png,pcb1/Data/Images/Anomaly/058.JPG
line_01/2026-08-01/L01AAA100021.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0030.JPG
line_01/2026-08-01/L01AAA100022.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0095.JPG
line_01/2026-08-01/L01AAA100023.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0223.JPG
line_01/2026-08-01/L01AAA100024.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0238.JPG
line_01/2026-08-01/L01AAA100025.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0517.JPG
line_01/2026-08-01/L01AAA100026.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,defect,/Users/eundong/Library/CloudStorage/GoogleDrive-yidheld@gmail.com/내 드라이브/[Shared]SK_AI_Hackathon/archive/pcb1/Data/Masks/Anomaly/009.png,pcb1/Data/Images/Anomaly/009.JPG
line_01/2026-08-01/L01AAA100027.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0616.JPG
line_01/2026-08-01/L01AAA100028.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0027.JPG
line_01/2026-08-01/L01AAA100029.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0574.JPG
line_01/2026-08-01/L01AAA100030.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0203.JPG
line_01/2026-08-01/L01AAA100031.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0733.JPG
line_01/2026-08-01/L01AAA100032.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0665.JPG
line_01/2026-08-01/L01AAA100033.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0718.JPG
line_01/2026-08-01/L01AAA100034.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0990.JPG
line_01/2026-08-01/L01AAA100035.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0429.JPG
line_01/2026-08-01/L01AAA100036.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0225.JPG
line_01/2026-08-01/L01AAA100037.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0459.JPG
line_01/2026-08-01/L01AAA100038.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0603.JPG
line_01/2026-08-01/L01AAA100039.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0284.JPG
line_01/2026-08-01/L01AAA100040.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0828.JPG
line_01/2026-08-01/L01AAA100041.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0890.JPG
line_01/2026-08-01/L01AAA100042.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0006.JPG
line_01/2026-08-01/L01AAA100043.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0777.JPG
line_01/2026-08-01/L01AAA100044.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0825.JPG
line_01/2026-08-01/L01AAA100045.JPG,line_01,pcb1,2026-08-01,LOT-20260801-AAA,EQ-01-A,operation,normal,,pcb1/Data/Images/Normal/0163.JPG
